id,Latitud,Longitud
1,19.4335895,-99.1678193
2,19.43051,-99.171201
3,19.43163,-99.158547
4,19.428491,-99.171693
5,19.429804,-99.169451
6,19.430963,-99.166986
7,19.425355,-99.17515
8,19.431256,-99.158153
9,19.428184,-99.170013
10,19.433431,-99.155142
11,19.431192,-99.163546
12,19.432223,-99.161686
13,19.424941,-99.17233
14,19.42454,-99.173247
15,19.425597,-99.171409
16,19.426898,-99.168422
17,19.427553,-99.167396
18,19.428802,-99.164381
19,19.429453,-99.16283
20,19.430907,-99.160148
21,19.424784,-99.172119
22,19.424784,-99.172119
23,19.42528,-99.171099
24,19.426614,-99.168078
25,19.427338,-99.16672
26,19.432595,-99.154995
27,19.42916,-99.162703
28,19.423664,-99.172568
29,19.434944,-99.150295
30,19.426384,-99.164255
31,19.427937,-99.161245
32,19.4226672,-99.1699751
33,19.424187,-99.166497
34,19.424584,-99.163688
35,19.424558,-99.163518
36,19.41966,-99.17588
37,19.4204398,-99.1727208
38,19.4208433,-99.1713729
39,19.421762,-99.166931
40,19.422379,-99.164137
41,19.43542,-99.150317
42,19.420627,-99.16821
43,19.4351365,-99.1460756
44,19.418141,-99.174709
45,19.418749,-99.171942
46,19.41919,-99.169764
47,19.41955,-99.166214
48,19.433705,-99.146665
49,19.41689,-99.17562
50,19.416886,-99.173591
51,19.418031,-99.168435
52,19.436208,-99.141931
53,19.4148233,-99.1783527
54,19.416163,-99.170795
55,19.434514,-99.138068
56,19.417102,-99.165607
57,19.414968,-99.174766
58,19.415358,-99.171902
59,19.415237,-99.16659
60,19.414119,-99.177214
61,19.413789,-99.169427
62,19.413314,-99.175225
63,19.41299,-99.171675
64,19.412982,-99.166936
65,19.436522,-99.139811
66,19.411825,-99.178456
67,19.411703,-99.175753
68,19.411771,-99.173783
69,19.410797,-99.168143
70,19.41128,-99.169825
71,19.411361,-99.171271
72,19.409859,-99.179565
73,19.410073,-99.175542
74,19.410468,-99.172802
75,19.408676,-99.176759
76,19.4086886,-99.169938
77,19.406745,-99.178272
78,19.407512,-99.177361
79,19.407479,-99.174403
80,19.407233,-99.172131
81,19.407927,-99.168734
82,19.433344,-99.14404
83,19.40655,-99.172275
84,19.406872,-99.169572
85,19.434081,-99.162434
86,19.432452,-99.15924
87,19.432024,-99.139705
88,19.433757,-99.135331
89,19.434962,-99.133729
90,19.43144,-99.132513
91,19.4374,-99.137571
92,19.436531,-99.131497
93,19.436741,-99.134811
94,19.433766,-99.130918
95,19.430722,-99.133698
96,19.430625,-99.14248
97,19.429189,-99.132759
98,19.430267,-99.14861
99,19.429947,-99.14591
100,19.428485,-99.1338
101,19.428366,-99.135895
102,19.428214,-99.139494
103,19.441533,-99.165268
104,19.427059,-99.137116
105,19.426755,-99.135014
106,19.42649,-99.133537
107,19.427329,-99.149971
108,19.427305,-99.149533
109,19.425311,-99.137421
110,19.425126,-99.143391
111,19.438197,-99.165918
112,19.432819,-99.151734
113,19.430369,-99.154419
114,19.428989,-99.153618
115,19.429947,-99.159698
116,19.428985,-99.15664
117,19.427132,-99.160369
118,19.427114,-99.158251
119,19.426785,-99.155535
120,19.425437,-99.159458
121,19.424137,-99.161317
122,19.425502,-99.146337
123,19.424161,-99.153117
124,19.422392,-99.150358
125,19.424197,-99.156127
126,19.422288,-99.162138
127,19.423318,-99.15833
128,19.422148,-99.160645
129,19.4206,-99.163312
130,19.421576,-99.158015
131,19.419579,-99.161314
132,19.420667,-99.15645
133,19.421138,-99.154725
134,19.418304,-99.15956
135,19.419225,-99.155099
136,19.417715,-99.162729
137,19.418774,-99.157081
138,19.417702,-99.155313
139,19.416128,-99.162097
140,19.416596,-99.156879
141,19.415905,-99.15954
142,19.413232,-99.164121
143,19.414303,-99.157542
144,19.415192,-99.154837
145,19.41286,-99.160661
146,19.410737,-99.165716
147,19.412182,-99.158443
148,19.412829,-99.155116
149,19.41199,-99.155699
150,19.409894,-99.164288
151,19.410529,-99.160873
152,19.409098,-99.167181
153,19.407468,-99.165141
154,19.406683,-99.167962
155,19.408218,-99.159911
156,19.406959,-99.163021
157,19.406236,-99.166616
158,19.407507,-99.155541
159,19.407517,-99.155373
160,19.440252,-99.163455
161,19.405533,-99.164913
162,19.404907,-99.162485
163,19.405246,-99.15643
164,19.403204,-99.16596
165,19.404268,-99.160503
166,19.406069,-99.183549
167,19.404651,-99.179375
168,19.403997,-99.1776
169,19.403019,-99.174934
170,19.404029,-99.184342
171,19.4025195,-99.1781595
172,19.4034757,-99.1817166
173,19.401682,-99.176398
174,19.441114,-99.161636
175,19.400767,-99.172533
176,19.442717,-99.152262
177,19.408841,-99.181692
178,19.406833,-99.180457
179,19.404452,-99.171438
180,19.404554,-99.169953
181,19.404733,-99.174461
182,19.40198,-99.17132
183,19.437665,-99.164018
184,19.414793,-99.185083
185,19.412776,-99.182805
186,19.412455,-99.188489
187,19.411227,-99.185514
188,19.411711,-99.190139
189,19.410036,-99.187978
190,19.409577,-99.183818
191,19.40796,-99.187901
192,19.42592,-99.190755
193,19.425907,-99.190733
194,19.424282,-99.180334
195,19.424858,-99.185181
196,19.438349,-99.192904
197,19.440077,-99.204316
198,19.438168,-99.203888
199,19.437934,-99.197241
200,19.437596,-99.188785
201,19.437431,-99.187215
202,19.436064,-99.198898
203,19.435985,-99.194832
204,19.435882,-99.19152
205,19.435525,-99.184713
206,19.435798,-99.201419
207,19.434861,-99.183322
208,19.434182,-99.189835
209,19.435478,-99.206359
210,19.434076,-99.194091
211,19.433607,-99.188528
212,19.433567,-99.188096
213,19.434361,-99.206342
214,19.434353,-99.20322
215,19.43384,-99.19968
216,19.433419,-99.195746
217,19.432888,-99.183605
218,19.432451,-99.188033
219,19.433542,-99.207808
220,19.432655,-99.205727
221,19.431799,-99.201565
222,19.431417,-99.195774
223,19.431242,-99.191613
224,19.431255,-99.188065
225,19.431172,-99.185612
226,19.431033,-99.18222
227,19.431791,-99.207373
228,19.427705,-99.19912
229,19.430515,-99.203331
230,19.430098,-99.200074
231,19.42977,-99.19349
232,19.42894,-99.185389
233,19.429314,-99.196965
234,19.42783,-99.191539
235,19.429332,-99.202181
236,19.429436,-99.20243
237,19.426744,-99.193986
238,19.426757,-99.193774
239,19.430153,-99.181355
240,19.438551,-99.206298
241,19.438616,-99.207577
242,19.440344,-99.20105
243,19.440806,-99.195806
244,19.440885,-99.193315
245,19.438347,-99.190503
246,19.434147,-99.179835
247,19.432276,-99.18064
248,19.43175,-99.177399
249,19.429877,-99.177569
250,19.428949,-99.179796
251,19.429261,-99.17538
252,19.427575,-99.17702
253,19.4264486,-99.1781433
254,19.439347,-99.160074
255,19.437118,-99.161862
256,19.437167,-99.158313
257,19.433803,-99.166223
258,19.4165298,-99.1790435
259,19.437569,-99.15468
260,19.4352787,-99.1477913
261,19.42491,-99.172455
262,19.436931,-99.133952
263,19.436274,-99.158425
264,19.440985,-99.152935
265,19.440839,-99.152265
266,19.444031,-99.152187
267,19.443735,-99.152203
268,19.442467,-99.151658
269,19.442448,-99.151586
270,19.436764,-99.153865
271,19.443684,-99.152465
272,19.443467,-99.152491
273,19.442707,-99.152956
274,19.442772,-99.153289
275,19.441061,-99.153137
276,19.401986,-99.156366
277,19.401807,-99.15909
278,19.40071,-99.163831
279,19.399908,-99.166553
280,19.4015,-99.156406
281,19.398532,-99.157308
282,19.398692,-99.161273
283,19.39827,-99.167383
284,19.397693,-99.172981
285,19.399763,-99.177538
286,19.399201,-99.179943
287,19.398946,-99.183254
288,19.396359,-99.183579
289,19.397308,-99.174548
290,19.396333,-99.172667
291,19.397651,-99.169946
292,19.396917,-99.166264
293,19.397373,-99.164598
294,19.396513,-99.160924
295,19.396328,-99.156871
296,19.394283,-99.158756
297,19.394412,-99.158907
298,19.394092,-99.162139
299,19.394601,-99.165054
300,19.3932287,-99.1684308
301,19.393807,-99.171133
302,19.393832,-99.171466
303,19.394842,-99.173025
304,19.395043,-99.173821
305,19.394693,-99.175531
306,19.393699,-99.175664
307,19.393701,-99.175834
308,19.393643,-99.178156
309,19.393059,-99.179483
310,19.395322,-99.181667
311,19.393665,-99.185391
312,19.392634,-99.183737
313,19.391431,-99.178989
314,19.391647,-99.177331
315,19.391472,-99.1736
316,19.391056,-99.1712
317,19.391456,-99.166157
318,19.392195,-99.163987
319,19.391991,-99.162684
320,19.391323,-99.15936
321,19.389477,-99.157513
322,19.388528,-99.160616
323,19.389026,-99.163403
324,19.387342,-99.165629
325,19.388178,-99.169689
326,19.388978,-99.174811
327,19.38885,-99.17772
328,19.392721,-99.184727
329,19.390306,-99.184812
330,19.389358,-99.182606
331,19.388748,-99.183924
332,19.385494,-99.183744
333,19.387624,-99.180978
334,19.3865269,-99.1751519
335,19.387003,-99.173504
336,19.385531,-99.169673
337,19.384849,-99.16704
338,19.384242,-99.16326
339,19.386212,-99.160583
340,19.3856299,-99.1582241
341,19.382889,-99.158352
342,19.381052,-99.159453
343,19.383904,-99.160875
344,19.382222,-99.162214
345,19.384447,-99.172039
346,19.385039,-99.174018
347,19.384474,-99.176084
348,19.38542,-99.17823
349,19.385632,-99.180848
350,19.384066,-99.181221
351,19.385751,-99.186297
352,19.384146,-99.185491
353,19.38213,-99.178814
354,19.381714,-99.176664
355,19.382042,-99.173336
356,19.381287,-99.1702
357,19.380617,-99.167066
358,19.380087,-99.16427
359,19.379331,-99.161163
360,19.379435,-99.162794
361,19.380691,-99.175036
362,19.382109,-99.181056
363,19.380839,-99.183932
364,19.383019,-99.185669
365,19.381123,-99.18667
366,19.378423,-99.181891
367,19.379593,-99.181351
368,19.379289,-99.179125
369,19.379941,-99.177224
370,19.378827,-99.176944
371,19.378546,-99.174297
372,19.377966,-99.170272
373,19.377932,-99.166594
374,19.376918,-99.16108
375,19.376997,-99.158779
376,19.375332,-99.161607
377,19.375397,-99.163778
378,19.375865,-99.168219
379,19.375951,-99.170776
380,19.374756,-99.173539
381,19.375495,-99.177819
382,19.375531,-99.178051
383,19.375743,-99.181512
384,19.375865,-99.185573
385,19.375806,-99.185527
386,19.374912,-99.185807
387,19.374267,-99.180546
388,19.373078,-99.181416
389,19.373438,-99.179531
390,19.373384,-99.178173
391,19.373161,-99.178243
392,19.373004,-99.174764
393,19.373307,-99.172471
394,19.372474,-99.171639
395,19.373725,-99.169807
396,19.37165,-99.17015
397,19.373112,-99.166981
398,19.37104,-99.165653
399,19.372469,-99.164538
400,19.372591,-99.164166
401,19.372101,-99.161501
402,19.370957,-99.158886
403,19.371267,-99.158657
404,19.373833,-99.157433
405,19.370558,-99.156649
406,19.367895,-99.16332
407,19.367209,-99.15872
408,19.366673,-99.156839
409,19.365125,-99.155477
410,19.365499,-99.158087
411,19.368038,-99.164065
412,19.368107,-99.164376
413,19.369823,-99.172164
414,19.370221,-99.173862
415,19.37099,-99.176135
416,19.371279,-99.177623
417,19.373198,-99.184274
418,19.371233,-99.182936
419,19.370615,-99.181606
420,19.369782,-99.179707
421,19.36952,-99.179421
422,19.368403,-99.177472
423,19.367816,-99.175269
424,19.36715,-99.17055
425,19.36704,-99.167387
426,19.365648,-99.165943
427,19.364912,-99.162968
428,19.363404,-99.160395
429,19.363049,-99.158436
430,19.36205,-99.154976
431,19.361426,-99.158317
432,19.361245,-99.16239
433,19.363548,-99.170766
434,19.363741,-99.171268
435,19.36497,-99.172069
436,19.36623,-99.177904
437,19.364916,-99.175985
438,19.36473,-99.174447
439,19.362037,-99.172683
440,19.360706,-99.168749
441,19.361213,-99.16752
442,19.359863,-99.165065
443,19.359583,-99.162085
444,19.359475,-99.159437
445,19.358934,-99.156064
446,19.3586,-99.156101
447,19.418879,-99.176854
448,19.426611,-99.14447
449,19.420281,-99.174392
450,19.438228,-99.152269
451,19.428847,-99.201299
452,19.435867,-99.179856
453,19.424842,-99.203739
454,19.425905,-99.204236
455,19.426308,-99.2033
456,19.427517,-99.208412
457,19.42703,-99.212845
458,19.428679,-99.206605
459,19.429243,-99.207267
460,19.437014,-99.207932
461,19.440106,-99.210031
462,19.442338,-99.205198
463,19.443228,-99.202492
464,19.442421,-99.199838
465,19.445039,-99.194078
466,19.44269,-99.19083
467,19.440399,-99.186784
468,19.43726,-99.179624
469,19.434183,-99.173089
470,19.435039,-99.173879
471,19.436287,-99.174888
472,19.437667,-99.17711
473,19.438143,-99.17519
474,19.438984,-99.177549
475,19.439249,-99.181065
476,19.442127,-99.184433
477,19.440905,-99.181743
478,19.440818,-99.176961
479,19.444433,-99.179664
480,19.446073,-99.181654
